ID,weekend_nights,week_nights,room_type,board_type,n_adults,n_less_12,n_more_12,booked_tour,n_requests,lead_time,purchase_type,n_p_cacellation,n_p_not_cacellation,repeated,price,date,is_canceled
INN16062,0,2,Room_Type 4,,2,1,0,0,1,132.0,Online,0,0,0,141.59,5/13/2018,False
INN09467,0,2,Room_Type 2,half board,1,0,0,0,0,159.0,Online,0,0,0,90.56,8/30/2018,False
INN07689,1,4,Room_Type 7,,3,0,0,0,2,32.0,,0,0,0,,9/28/2018,False
INN28642,2,1,Room_Type 1,,2,0,0,0,0,38.0,,0,0,0,,09/11/2018,False
INN34082,1,4,Room_Type 1,half board,2,0,0,0,1,88.0,Online,0,0,0,99.05,3/16/2018,False
INN12402,1,3,Room_Type 1,,1,0,0,0,0,27.0,Online,0,0,0,126.4,9/26/2018,False
INN21750,2,5,Room_Type 1,half board,2,0,0,0,2,180.0,Offline,0,0,0,61.43,3/19/2018,False
INN26221,2,2,Room_Type 1,,2,0,0,0,1,203.0,,0,0,0,,4/22/2018,False
INN06125,0,3,Room_Type 1,half board,2,0,0,0,1,326.0,Online,0,0,0,121.33,9/21/2018,True
INN22902,2,1,Room_Type 1,breakfast,2,0,0,0,0,28.0,Offline,0,0,0,129.0,01/02/2018,False
INN20666,1,2,Room_Type 1,,1,0,0,0,2,40.0,Online,0,0,0,116.0,12/02/2018,False
INN14595,2,3,Room_Type 1,half board,2,0,0,0,0,231.0,Offline,0,0,0,39.15,9/25/2017,True
INN11006,0,2,Room_Type 1,breakfast,1,0,0,0,0,8.0,Online,0,0,0,20.0,12/10/2017,False
INN00481,0,2,Room_Type 1,half board,1,0,0,0,0,226.0,Online,0,0,0,150.0,6/15/2018,True
INN31132,0,2,Room_Type 4,,1,0,0,0,0,4.0,Aviation,0,0,0,115.0,11/10/2018,False
INN17175,1,1,Room_Type 1,half board,1,0,0,0,0,5.0,Offline,0,0,0,100.0,8/29/2018,False
INN01827,0,3,Room_Type 4,,3,0,0,0,2,190.0,,0,0,0,166.7,07/07/2018,False
INN17494,0,3,Room_Type 1,half board,2,0,0,0,0,365.0,Offline,0,0,0,109.0,11/03/2018,True
INN00557,1,1,Room_Type 1,,2,0,0,0,0,12.0,Online,0,0,0,123.0,3/19/2018,True
INN35988,0,2,Room_Type 1,half board,2,0,0,0,0,77.0,Corporate,0,0,0,160.0,5/17/2018,True
INN18271,2,1,Room_Type 1,full board,3,0,0,0,2,81.0,Online,0,0,0,150.4,12/05/2017,False
INN30634,2,5,Room_Type 4,half board,2,0,0,0,0,64.0,Online,0,0,0,151.14,09/04/2018,True
INN23594,0,1,Room_Type 4,,1,0,0,0,0,0.0,,0,0,0,20.0,10/15/2017,False
INN30519,2,3,Room_Type 1,half board,2,0,0,0,0,30.0,Offline,0,0,0,85.0,11/22/2017,False
INN16914,0,2,Room_Type 1,,2,0,0,0,1,10.0,Online,0,0,0,169.0,09/07/2018,False
INN26495,2,3,Room_Type 4,,1,0,0,0,0,,,0,0,0,,09/10/2018,False
INN31180,0,2,Room_Type 1,half board,1,0,0,0,2,59.0,Online,0,0,0,133.4,10/05/2018,False
INN00394,0,2,Room_Type 1,,2,0,0,0,1,,,0,0,0,,03/04/2018,False
